product_name,store_name,stock_level,units_needed
Smart LED Television 55in,RetailPulse Bandra Hub,3,17
Smart LED Television 55in,RetailPulse Koramangala,11,19
Smart LED Television 55in,RetailPulse Salt Lake,3,7
Wireless Bluetooth Headphones,RetailPulse Downtown,3,27
Wireless Bluetooth Headphones,RetailPulse Bandra Hub,25,5
Men's Running Shoes Size 10,RetailPulse Anna Nagar,10,20
Organic Green Tea 200g,RetailPulse Lajpat Nagar,5,10
Organic Green Tea 200g,RetailPulse Koramangala,10,5
Stainless Steel Water Bottle,RetailPulse Koramangala,20,5
Gaming Laptop 15.6in RTX,RetailPulse Lajpat Nagar,8,7
Gaming Laptop 15.6in RTX,RetailPulse Anna Nagar,18,2
Yoga Mat Anti-Slip 6mm,RetailPulse Downtown,14,6
Yoga Mat Anti-Slip 6mm,RetailPulse T. Nagar,19,1
Ceramic Coffee Mug 350ml,RetailPulse Koramangala,14,6
Women's Casual Kurti,RetailPulse MG Road,16,9
Smartphone Android 128GB,RetailPulse Park Street,8,12
Smartphone Android 128GB,RetailPulse Salt Lake,2,28
Baby Diaper Pack 50pcs,RetailPulse Downtown,0,10
Baby Diaper Pack 50pcs,RetailPulse Koramangala,9,21
Baby Diaper Pack 50pcs,RetailPulse Anna Nagar,27,3
Baby Diaper Pack 50pcs,RetailPulse T. Nagar,16,14
Atta Whole Wheat Flour 10kg,RetailPulse MG Road,12,13
Atta Whole Wheat Flour 10kg,RetailPulse T. Nagar,7,18
USB-C Fast Charger 65W,RetailPulse Lajpat Nagar,24,6
Steel Pressure Cooker 5L,RetailPulse Connaught,11,4
Steel Pressure Cooker 5L,RetailPulse Lajpat Nagar,21,4
Steel Pressure Cooker 5L,RetailPulse Salt Lake,21,4
Steel Pressure Cooker 5L,RetailPulse Anna Nagar,0,25
A4 Notebook 200pg Ruled,RetailPulse Koramangala,7,23
A4 Notebook 200pg Ruled,RetailPulse Salt Lake,7,13
A4 Notebook 200pg Ruled,RetailPulse Anna Nagar,7,3
Running Track Pants,RetailPulse MG Road,8,22
Running Track Pants,RetailPulse Koramangala,8,7
Kids Sneakers Size 5,RetailPulse Downtown,1,24
Kids Sneakers Size 5,RetailPulse Koramangala,16,4
Kids Sneakers Size 5,RetailPulse T. Nagar,20,5
Portable Bluetooth Speaker,RetailPulse Lajpat Nagar,1,29
Portable Bluetooth Speaker,RetailPulse T. Nagar,19,1
Cotton Bed Sheet Double,RetailPulse Koramangala,11,14
Cotton Bed Sheet Double,RetailPulse Salt Lake,5,5
Face Wash Neem 150ml,RetailPulse Downtown,20,5
Face Wash Neem 150ml,RetailPulse Anna Nagar,18,7
Mechanical Keyboard RGB,RetailPulse Connaught,3,12
Men's Formal Shirt,RetailPulse Connaught,14,6
Men's Formal Shirt,RetailPulse Lajpat Nagar,22,8
Men's Formal Shirt,RetailPulse Koramangala,13,17
Green Tea Honey Lemon 25bags,RetailPulse Connaught,5,20
Green Tea Honey Lemon 25bags,RetailPulse Lajpat Nagar,0,30
Green Tea Honey Lemon 25bags,RetailPulse Salt Lake,8,12
Badminton Racket Set,RetailPulse Park Street,24,1
